"player"	"number"	"team"	"league"	"nationality"	"region"	"height"	"weight"	"age"	"foot"	"position"	"attacking"	"ball_control"	"dribbling"	"low_pass"	"air_pass"	"finishing"	"place_kicking"	"swerve"	"header"	"defensive"	"ball_winning"	"kicking_power"	"speed"	"explosive_power"	"unwavering_balance"	"physical_contact"	"jump"	"goalkeeping"	"gk_catch"	"clearing"	"reflexes"	"coverage"	"stamina"	"weak_foot_usage"	"weak_foot_accuracy"	"form"	"injury_resistance"	"overall"
"J. BARBOZA"	"16"	"INDEPENDIENTE MEDELLÍN"	"Liga Águila"	"URUGUAY"	"South America"	"180"	"68"	"28"	"Right foot"	"DMF"	"65"	"67"	"68"	"74"	"71"	"61"	"59"	"60"	"65"	"63"	"69"	"70"	"72"	"76"	"69"	"66"	"67"	"40"	"40"	"40"	"40"	"40"	"77"	"2"	"3"	"6"	"3"	"68"
"E. HARRISON"	"10"	"EAST ANGLIA TOWN"	"English 2nd Division"	"WALES"	"Europe"	"180"	"79"	"24"	"Right foot"	"CF"	"67"	"65"	"66"	"64"	"61"	"70"	"58"	"63"	"67"	"55"	"57"	"74"	"84"	"84"	"73"	"80"	"80"	"40"	"40"	"40"	"40"	"40"	"77"	"2"	"2"	"4"	"2"	"68"
"O. DJOCO"	"35"	"CLERMONT"	"Domino's Ligue 2"	"FRANCE"	"Europe"	"188"	"78"	"20"	"Right foot"	"GK"	"42"	"58"	"60"	"58"	"60"	"40"	"55"	"45"	"62"	"65"	"51"	"67"	"59"	"71"	"63"	"63"	"81"	"70"	"80"	"77"	"77"	"76"	"72"	"2"	"2"	"4"	"2"	"68"
"D. FALL"	"99"	"HOBRO"	"Superliga"	"SENEGAL"	"Africa"	"187"	"82"	"33"	"Right foot"	"CF"	"66"	"71"	"66"	"64"	"62"	"71"	"63"	"65"	"77"	"56"	"53"	"73"	"74"	"72"	"63"	"83"	"83"	"40"	"40"	"40"	"40"	"40"	"79"	"2"	"3"	"5"	"1"	"68"
"A. SAROKA"	"77"	"LOKEREN"	"Jupiler Pro League"	"BELARUS"	"Europe"	"188"	"78"	"26"	"Right foot"	"CF"	"78"	"69"	"63"	"61"	"54"	"75"	"51"	"62"	"81"	"48"	"51"	"80"	"70"	"65"	"61"	"84"	"75"	"40"	"40"	"40"	"40"	"40"	"77"	"2"	"3"	"4"	"2"	"68"
"M. COMBA"	"30"	"GIMNASIA LA PLATA"	"Superliga Quilmes Clásica"	"ARGENTINA"	"South America"	"167"	"65"	"24"	"Right foot"	"SS"	"67"	"74"	"79"	"70"	"69"	"69"	"62"	"72"	"62"	"52"	"50"	"70"	"72"	"77"	"76"	"62"	"65"	"40"	"40"	"40"	"40"	"40"	"65"	"2"	"2"	"4"	"2"	"68"
"J. DONACIEN"	"2"	"EAST ANGLIA TOWN"	"English 2nd Division"	"SAINT LUCIA"	"North & Central America"	"183"	"75"	"25"	"Right foot"	"CB"	"60"	"64"	"62"	"66"	"66"	"53"	"55"	"55"	"70"	"69"	"70"	"65"	"79"	"79"	"71"	"77"	"80"	"40"	"40"	"40"	"40"	"40"	"73"	"2"	"2"	"4"	"2"	"68"
"B. ELEKE"	"10"	"LUZERN"	"Raiffeisen Super League"	"NIGERIA"	"Africa"	"190"	"78"	"22"	"Right foot"	"CF"	"77"	"64"	"67"	"59"	"55"	"75"	"52"	"61"	"79"	"48"	"53"	"78"	"80"	"75"	"65"	"82"	"75"	"40"	"40"	"40"	"40"	"40"	"73"	"2"	"3"	"4"	"2"	"68"
"DIOGO LEITE"	"4"	"PORTO"	"Liga NOS"	"PORTUGAL"	"Europe"	"188"	"70"	"19"	"Left foot"	"CB"	"59"	"68"	"68"	"69"	"68"	"48"	"60"	"63"	"79"	"72"	"72"	"66"	"69"	"70"	"63"	"73"	"73"	"40"	"40"	"40"	"40"	"40"	"69"	"2"	"2"	"4"	"2"	"68"
"M. ROMERO"	"26"	"ARGENTINOS JUNIORS"	"Superliga Quilmes Clásica"	"ARGENTINA"	"South America"	"176"	"73"	"22"	"Right foot"	"RMF"	"65"	"73"	"71"	"66"	"67"	"66"	"62"	"68"	"66"	"59"	"65"	"74"	"76"	"77"	"70"	"71"	"73"	"40"	"40"	"40"	"40"	"40"	"72"	"3"	"3"	"4"	"2"	"68"
"H. ABDELLI"	"30"	"LE HAVRE"	"Domino's Ligue 2"	"FRANCE"	"Europe"	"180"	"78"	"19"	"Right foot"	"CMF"	"58"	"74"	"61"	"62"	"75"	"58"	"61"	"63"	"68"	"76"	"68"	"73"	"80"	"75"	"73"	"69"	"72"	"40"	"40"	"40"	"40"	"40"	"79"	"2"	"2"	"4"	"2"	"68"
"H. SILVEIRA"	"26"	"TIGRE"	"Superliga Quilmes Clásica"	"URUGUAY"	"South America"	"189"	"72"	"25"	"Right foot"	"CF"	"72"	"69"	"68"	"65"	"60"	"70"	"62"	"59"	"75"	"56"	"55"	"81"	"76"	"68"	"72"	"84"	"72"	"40"	"40"	"40"	"40"	"40"	"78"	"3"	"3"	"5"	"2"	"68"
"A. STAN"	"77"	"FCSB"	"Other European Leagues"	"ROMANIA"	"Europe"	"177"	"70"	"29"	"Left foot"	"LB"	"54"	"66"	"69"	"65"	"68"	"57"	"59"	"65"	"63"	"66"	"70"	"73"	"78"	"77"	"72"	"65"	"64"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"2"	"4"	"2"	"68"
"V. SUPRIAHA"	"89"	"DYNAMO KYIV"	"Other European Leagues"	"UKRAINE"	"Europe"	"182"	"75"	"18"	"Right foot"	"CF"	"74"	"70"	"74"	"64"	"56"	"73"	"55"	"59"	"65"	"53"	"51"	"72"	"79"	"78"	"75"	"70"	"77"	"40"	"40"	"40"	"40"	"40"	"73"	"2"	"3"	"4"	"2"	"68"
"E. KHARIN"	"59"	"AKHMAT GROZNY"	"Russian Premier Liga"	"RUSSIA"	"Europe"	"183"	"72"	"23"	"Left foot"	"LMF"	"60"	"77"	"77"	"73"	"70"	"55"	"60"	"65"	"61"	"55"	"51"	"73"	"80"	"75"	"67"	"61"	"60"	"40"	"40"	"40"	"40"	"40"	"71"	"2"	"2"	"4"	"2"	"68"
"O. THILL"	"29"	"UFA"	"Russian Premier Liga"	"LUXEMBOURG"	"Europe"	"175"	"78"	"22"	"Right foot"	"CMF"	"65"	"71"	"72"	"73"	"71"	"59"	"66"	"67"	"67"	"64"	"61"	"75"	"73"	"74"	"71"	"65"	"66"	"40"	"40"	"40"	"40"	"40"	"72"	"2"	"2"	"4"	"2"	"68"
"J. LAWRENCE"	"3"	"ANDERLECHT"	"Jupiler Pro League"	"ENGLAND"	"Europe"	"187"	"81"	"26"	"Left foot"	"CB"	"59"	"62"	"58"	"68"	"66"	"62"	"54"	"63"	"76"	"73"	"72"	"69"	"72"	"69"	"62"	"77"	"72"	"40"	"40"	"40"	"40"	"40"	"73"	"2"	"2"	"5"	"2"	"68"
"DIOGO COSTA"	"31"	"PORTO"	"Liga NOS"	"PORTUGAL"	"Europe"	"186"	"80"	"19"	"Right foot"	"GK"	"42"	"60"	"62"	"62"	"60"	"42"	"61"	"51"	"73"	"68"	"62"	"71"	"63"	"65"	"70"	"74"	"73"	"79"	"73"	"73"	"76"	"76"	"66"	"2"	"2"	"5"	"2"	"68"
"Y. AL QAHTANI"	"20"	"AL HILAL"	"AFC Champions League"	"SAUDI ARABIA"	"Asia-Oceania"	"176"	"77"	"36"	"Right foot"	"CF"	"70"	"70"	"73"	"71"	"72"	"72"	"71"	"70"	"73"	"49"	"44"	"72"	"71"	"73"	"70"	"73"	"74"	"40"	"40"	"40"	"40"	"40"	"66"	"2"	"3"	"4"	"2"	"68"
"ZHAO XURI"	"7"	"TIANJIN QUANJIAN"	"AFC Champions League"	"CHINA"	"Asia-Oceania"	"185"	"80"	"33"	"Right foot"	"DMF"	"62"	"70"	"65"	"70"	"70"	"55"	"72"	"65"	"66"	"68"	"67"	"80"	"66"	"66"	"66"	"80"	"70"	"40"	"40"	"40"	"40"	"40"	"75"	"2"	"3"	"5"	"3"	"68"
"WANG YONGPO"	"39"	"TIANJIN QUANJIAN"	"AFC Champions League"	"CHINA"	"Asia-Oceania"	"178"	"71"	"31"	"Right foot"	"CMF"	"66"	"74"	"72"	"70"	"68"	"68"	"70"	"72"	"64"	"60"	"66"	"72"	"67"	"68"	"70"	"65"	"74"	"40"	"40"	"40"	"40"	"40"	"76"	"3"	"3"	"6"	"2"	"68"
"R. KURISAWA"	"28"	"KASHIWA REYSOL"	"AFC Champions League"	"JAPAN"	"Asia-Oceania"	"170"	"64"	"36"	"Right foot"	"CMF"	"63"	"73"	"70"	"73"	"71"	"66"	"72"	"70"	"65"	"68"	"71"	"70"	"67"	"70"	"70"	"68"	"67"	"40"	"40"	"40"	"40"	"40"	"71"	"4"	"4"	"6"	"3"	"68"
"YANG DONG-HYUN"	"18"	"CEREZO OSAKA"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"186"	"80"	"32"	"Right foot"	"CF"	"75"	"68"	"68"	"70"	"65"	"75"	"63"	"60"	"74"	"50"	"50"	"76"	"68"	"67"	"75"	"80"	"70"	"40"	"40"	"40"	"40"	"40"	"69"	"4"	"4"	"5"	"2"	"68"
"K. FUJIMOTO"	"4"	"CEREZO OSAKA"	"AFC Champions League"	"JAPAN"	"Asia-Oceania"	"177"	"76"	"32"	"Right foot"	"CB"	"58"	"67"	"67"	"66"	"66"	"62"	"60"	"61"	"72"	"68"	"70"	"73"	"75"	"72"	"70"	"71"	"77"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"1"	"68"
"K. KIRIHATA"	"1"	"KASHIWA REYSOL"	"AFC Champions League"	"JAPAN"	"Asia-Oceania"	"187"	"77"	"31"	"Right foot"	"GK"	"41"	"48"	"52"	"61"	"64"	"43"	"46"	"42"	"60"	"71"	"61"	"75"	"68"	"65"	"60"	"76"	"75"	"79"	"78"	"79"	"72"	"74"	"61"	"4"	"4"	"4"	"2"	"68"
"Y. TASAKA"	"6"	"KAWASAKI FRONTALE"	"AFC Champions League"	"JAPAN"	"Asia-Oceania"	"174"	"69"	"33"	"Right foot"	"RMF"	"69"	"72"	"73"	"71"	"70"	"65"	"69"	"69"	"67"	"65"	"63"	"68"	"69"	"70"	"66"	"69"	"70"	"40"	"40"	"40"	"40"	"40"	"75"	"3"	"3"	"5"	"2"	"68"
"M. FITZGERALD"	"29"	"KAWASAKI FRONTALE"	"AFC Champions League"	"NEW ZEALAND"	"Asia-Oceania"	"185"	"82"	"30"	"Right foot"	"CB"	"60"	"67"	"66"	"70"	"73"	"60"	"58"	"60"	"75"	"70"	"69"	"69"	"70"	"69"	"65"	"74"	"76"	"40"	"40"	"40"	"40"	"40"	"70"	"3"	"3"	"4"	"1"	"68"
"Y. ITO"	"24"	"KASHIMA ANTLERS"	"AFC Champions League"	"JAPAN"	"Asia-Oceania"	"176"	"68"	"25"	"Right foot"	"RB"	"61"	"69"	"70"	"67"	"70"	"70"	"61"	"68"	"67"	"56"	"66"	"72"	"74"	"71"	"61"	"66"	"71"	"40"	"40"	"40"	"40"	"40"	"79"	"2"	"2"	"4"	"2"	"68"
"M. KAMEKAWA"	"39"	"KASHIWA REYSOL"	"AFC Champions League"	"JAPAN"	"Asia-Oceania"	"176"	"64"	"25"	"Right foot"	"LB"	"63"	"69"	"70"	"65"	"66"	"61"	"60"	"62"	"63"	"59"	"70"	"72"	"75"	"73"	"70"	"71"	"72"	"40"	"40"	"40"	"40"	"40"	"75"	"4"	"4"	"4"	"2"	"68"
"H. NAKAGAWA"	"19"	"KASHIWA REYSOL"	"AFC Champions League"	"JAPAN"	"Asia-Oceania"	"155"	"57"	"24"	"Right foot"	"AMF"	"65"	"74"	"73"	"70"	"65"	"70"	"62"	"65"	"70"	"55"	"60"	"70"	"69"	"78"	"68"	"64"	"72"	"40"	"40"	"40"	"40"	"40"	"76"	"4"	"4"	"5"	"2"	"68"
"RICARDO SANTOS"	"46"	"CEREZO OSAKA"	"AFC Champions League"	"BRAZIL"	"South America"	"187"	"80"	"31"	"Right foot"	"CF"	"71"	"70"	"69"	"68"	"65"	"72"	"66"	"60"	"75"	"50"	"50"	"73"	"74"	"70"	"75"	"81"	"75"	"40"	"40"	"40"	"40"	"40"	"66"	"2"	"2"	"4"	"2"	"68"
"MOHAMED AHMED"	"23"	"AL AIN"	"AFC Champions League"	"UNITED ARAB EMIRATES"	"Asia-Oceania"	"183"	"80"	"29"	"Right foot"	"CB"	"65"	"65"	"55"	"64"	"55"	"57"	"54"	"55"	"75"	"73"	"74"	"61"	"73"	"75"	"74"	"77"	"73"	"40"	"40"	"40"	"40"	"40"	"76"	"3"	"3"	"5"	"3"	"68"
"A. AL HAFITH"	"17"	"AL HILAL"	"AFC Champions League"	"SAUDI ARABIA"	"Asia-Oceania"	"188"	"82"	"26"	"Right foot"	"CB"	"60"	"70"	"61"	"64"	"61"	"58"	"60"	"63"	"70"	"74"	"78"	"68"	"73"	"72"	"68"	"74"	"66"	"40"	"40"	"40"	"40"	"40"	"72"	"2"	"2"	"4"	"3"	"68"
"G. OBOABONA"	"28"	"AL AHLI"	"AFC Champions League"	"NIGERIA"	"Africa"	"186"	"82"	"28"	"Right foot"	"CB"	"48"	"58"	"51"	"60"	"59"	"41"	"40"	"52"	"70"	"76"	"74"	"73"	"79"	"74"	"63"	"82"	"84"	"40"	"40"	"40"	"40"	"40"	"82"	"2"	"2"	"5"	"3"	"68"
"S. AL MUWALLAD"	"23"	"AL AHLI"	"AFC Champions League"	"SAUDI ARABIA"	"Asia-Oceania"	"175"	"69"	"27"	"Right foot"	"RB"	"66"	"67"	"68"	"67"	"65"	"66"	"54"	"65"	"63"	"70"	"60"	"70"	"80"	"75"	"69"	"70"	"69"	"40"	"40"	"40"	"40"	"40"	"71"	"4"	"4"	"4"	"2"	"68"
"M. KIANI"	"6"	"TRACTORSAZI TABRIZ"	"AFC Champions League"	"IRAN"	"Asia-Oceania"	"170"	"70"	"31"	"Right foot"	"DMF"	"65"	"70"	"64"	"78"	"65"	"60"	"64"	"64"	"70"	"71"	"68"	"72"	"70"	"69"	"55"	"70"	"72"	"40"	"40"	"40"	"40"	"40"	"73"	"3"	"3"	"5"	"2"	"68"
"S. AL SHEEB"	"1"	"AL SADD"	"AFC Champions League"	"QATAR"	"Asia-Oceania"	"185"	"79"	"28"	"Right foot"	"GK"	"41"	"54"	"54"	"58"	"63"	"45"	"45"	"45"	"60"	"70"	"43"	"68"	"59"	"60"	"60"	"80"	"71"	"79"	"75"	"74"	"80"	"72"	"62"	"1"	"2"	"4"	"3"	"68"
"KHALID MUFTAH"	"3"	"AL DUHAIL"	"AFC Champions League"	"QATAR"	"Asia-Oceania"	"173"	"69"	"26"	"Left foot"	"LB"	"65"	"66"	"64"	"70"	"69"	"51"	"49"	"59"	"64"	"72"	"65"	"69"	"78"	"77"	"69"	"67"	"69"	"40"	"40"	"40"	"40"	"40"	"73"	"2"	"2"	"5"	"2"	"68"
"MOHAMMED ALI A."	"4"	"AL JAZIRA"	"AFC Champions League"	"UNITED ARAB EMIRATES"	"Asia-Oceania"	"182"	"72"	"28"	"Right foot"	"CB"	"59"	"65"	"66"	"67"	"69"	"58"	"61"	"60"	"71"	"66"	"74"	"77"	"76"	"70"	"60"	"78"	"75"	"40"	"40"	"40"	"40"	"40"	"72"	"4"	"4"	"5"	"3"	"68"
"KIM YONG-DAE"	"1"	"ULSAN HYUNDAI FC"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"189"	"82"	"39"	"Right foot"	"GK"	"40"	"62"	"50"	"68"	"70"	"40"	"40"	"40"	"60"	"66"	"60"	"70"	"55"	"55"	"49"	"82"	"80"	"80"	"77"	"76"	"75"	"70"	"76"	"2"	"2"	"4"	"2"	"68"
"A. AL ZORI"	"4"	"AL HILAL"	"AFC Champions League"	"SAUDI ARABIA"	"Asia-Oceania"	"178"	"73"	"31"	"Left foot"	"LB"	"68"	"69"	"66"	"67"	"64"	"64"	"48"	"68"	"62"	"72"	"67"	"67"	"77"	"67"	"71"	"74"	"71"	"40"	"40"	"40"	"40"	"40"	"76"	"3"	"2"	"4"	"3"	"68"
"ZHENG LONG"	"27"	"GUANGZHOU EVERGRANDE"	"AFC Champions League"	"CHINA"	"Asia-Oceania"	"178"	"75"	"30"	"Right foot"	"LMF"	"72"	"74"	"72"	"68"	"70"	"65"	"68"	"72"	"67"	"54"	"51"	"67"	"74"	"75"	"76"	"68"	"62"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"68"
"J. GERIA"	"2"	"MELBOURNE VICTORY"	"AFC Champions League"	"AUSTRALIA"	"Asia-Oceania"	"178"	"70"	"25"	"Right foot"	"RB"	"53"	"62"	"65"	"64"	"62"	"47"	"51"	"52"	"68"	"70"	"70"	"66"	"80"	"79"	"65"	"75"	"82"	"40"	"40"	"40"	"40"	"40"	"77"	"1"	"2"	"5"	"2"	"68"
"F. AHMADZADEH"	"10"	"PERSEPOLIS"	"AFC Champions League"	"IRAN"	"Asia-Oceania"	"176"	"69"	"26"	"Left foot"	"AMF"	"68"	"72"	"69"	"73"	"69"	"66"	"66"	"69"	"63"	"60"	"56"	"76"	"76"	"71"	"60"	"67"	"69"	"40"	"40"	"40"	"40"	"40"	"79"	"1"	"1"	"5"	"2"	"68"
"M. NAJI HUSSEIN"	"22"	"AL DUHAIL"	"AFC Champions League"	"QATAR"	"Asia-Oceania"	"174"	"71"	"27"	"Right foot"	"RMF"	"64"	"67"	"73"	"63"	"76"	"62"	"51"	"53"	"60"	"69"	"73"	"68"	"84"	"80"	"65"	"67"	"62"	"40"	"40"	"40"	"40"	"40"	"72"	"2"	"2"	"4"	"1"	"68"
"LEE YONG"	"2"	"JEONBUK HYUNDAI MOTORS"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"180"	"74"	"32"	"Right foot"	"RB"	"65"	"62"	"61"	"62"	"73"	"64"	"74"	"72"	"73"	"70"	"70"	"67"	"70"	"72"	"60"	"70"	"64"	"40"	"40"	"40"	"40"	"40"	"73"	"3"	"3"	"4"	"2"	"68"
"T. ANTONIS"	"24"	"MELBOURNE VICTORY"	"AFC Champions League"	"AUSTRALIA"	"Asia-Oceania"	"180"	"74"	"25"	"Right foot"	"DMF"	"70"	"73"	"71"	"69"	"67"	"63"	"65"	"68"	"67"	"66"	"64"	"69"	"67"	"68"	"74"	"68"	"67"	"40"	"40"	"40"	"40"	"40"	"64"	"2"	"2"	"4"	"2"	"68"
"Y. NAKAYAMA"	"5"	"KASHIWA REYSOL"	"AFC Champions League"	"JAPAN"	"Asia-Oceania"	"181"	"76"	"21"	"Left foot"	"CB"	"57"	"70"	"68"	"73"	"75"	"62"	"65"	"60"	"73"	"69"	"72"	"70"	"68"	"67"	"71"	"70"	"75"	"40"	"40"	"40"	"40"	"40"	"70"	"3"	"4"	"4"	"2"	"68"
"R. Y. MOHAMAD"	"43"	"AL AIN"	"AFC Champions League"	"UNITED ARAB EMIRATES"	"Asia-Oceania"	"180"	"80"	"24"	"Right foot"	"CMF"	"60"	"71"	"72"	"72"	"70"	"67"	"58"	"73"	"60"	"58"	"62"	"72"	"74"	"73"	"74"	"70"	"65"	"40"	"40"	"40"	"40"	"40"	"75"	"2"	"2"	"4"	"2"	"68"
"S. SHAAKHMEDOV"	"22"	"LOKOMOTIV"	"AFC Champions League"	"UZBEKISTAN"	"Asia-Oceania"	"176"	"71"	"28"	"Left foot"	"AMF"	"69"	"72"	"73"	"72"	"69"	"63"	"69"	"74"	"64"	"62"	"63"	"72"	"68"	"66"	"69"	"70"	"67"	"40"	"40"	"40"	"40"	"40"	"78"	"3"	"3"	"4"	"2"	"68"
"A. GANIEV"	"6"	"NASAF"	"AFC Champions League"	"UZBEKISTAN"	"Asia-Oceania"	"175"	"69"	"20"	"Right foot"	"CMF"	"65"	"72"	"70"	"74"	"72"	"66"	"60"	"66"	"60"	"65"	"66"	"70"	"67"	"66"	"72"	"68"	"68"	"40"	"40"	"40"	"40"	"40"	"72"	"2"	"2"	"6"	"2"	"68"
"R. ATAYA"	"9"	"ZOB AHAN"	"AFC Champions League"	"LEBANON"	"Asia-Oceania"	"180"	"80"	"29"	"Right foot"	"RMF"	"70"	"69"	"70"	"76"	"70"	"61"	"62"	"71"	"60"	"50"	"55"	"73"	"76"	"76"	"60"	"74"	"69"	"40"	"40"	"40"	"40"	"40"	"72"	"2"	"2"	"4"	"2"	"68"
"V.MOHAMMADZADEH"	"3"	"ZOB AHAN"	"AFC Champions League"	"IRAN"	"Asia-Oceania"	"188"	"81"	"29"	"Right foot"	"CB"	"50"	"67"	"53"	"67"	"58"	"48"	"49"	"51"	"79"	"79"	"78"	"71"	"67"	"65"	"63"	"83"	"70"	"40"	"40"	"40"	"40"	"40"	"72"	"2"	"2"	"5"	"2"	"68"
"M. MEHDIPOUR"	"9"	"TRACTORSAZI TABRIZ"	"AFC Champions League"	"IRAN"	"Asia-Oceania"	"178"	"75"	"24"	"Right foot"	"CMF"	"66"	"73"	"67"	"73"	"74"	"62"	"70"	"68"	"60"	"67"	"65"	"67"	"69"	"71"	"67"	"71"	"68"	"40"	"40"	"40"	"40"	"40"	"71"	"3"	"3"	"4"	"3"	"68"
"HE GUAN"	"28"	"SHANGHAI SIPG"	"AFC Champions League"	"CHINA"	"Asia-Oceania"	"184"	"74"	"25"	"Right foot"	"CB"	"56"	"66"	"65"	"68"	"66"	"55"	"55"	"64"	"72"	"72"	"74"	"68"	"70"	"69"	"68"	"73"	"76"	"40"	"40"	"40"	"40"	"40"	"68"	"2"	"2"	"4"	"2"	"68"
"PARK JIN-PO"	"6"	"JEJU UNITED"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"173"	"72"	"31"	"Right foot"	"RB"	"55"	"63"	"59"	"60"	"65"	"61"	"51"	"57"	"67"	"73"	"67"	"50"	"76"	"84"	"85"	"72"	"82"	"40"	"40"	"40"	"40"	"40"	"76"	"2"	"2"	"4"	"2"	"68"
"JUNG JAE-YONG"	"6"	"ULSAN HYUNDAI FC"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"188"	"78"	"28"	"Right foot"	"DMF"	"60"	"68"	"66"	"70"	"68"	"55"	"60"	"65"	"70"	"72"	"74"	"75"	"66"	"65"	"65"	"75"	"70"	"40"	"40"	"40"	"40"	"40"	"78"	"2"	"2"	"5"	"2"	"68"
"K. CHINEN"	"20"	"KAWASAKI FRONTALE"	"AFC Champions League"	"JAPAN"	"Asia-Oceania"	"177"	"73"	"23"	"Right foot"	"CF"	"72"	"69"	"69"	"67"	"62"	"72"	"62"	"60"	"80"	"48"	"48"	"73"	"73"	"71"	"71"	"75"	"79"	"40"	"40"	"40"	"40"	"40"	"73"	"3"	"4"	"5"	"2"	"68"
"H. ABE"	"30"	"KASHIMA ANTLERS"	"AFC Champions League"	"JAPAN"	"Asia-Oceania"	"171"	"65"	"19"	"Right foot"	"LMF"	"70"	"76"	"77"	"68"	"66"	"69"	"63"	"61"	"60"	"56"	"45"	"67"	"75"	"81"	"70"	"66"	"67"	"40"	"40"	"40"	"40"	"40"	"67"	"2"	"2"	"4"	"2"	"68"
"M. KARIMI"	"28"	"ESTEGHLAL"	"AFC Champions League"	"IRAN"	"Asia-Oceania"	"173"	"68"	"24"	"Left foot"	"LMF"	"74"	"72"	"74"	"72"	"68"	"65"	"60"	"65"	"62"	"58"	"58"	"71"	"74"	"75"	"74"	"66"	"65"	"40"	"40"	"40"	"40"	"40"	"72"	"2"	"2"	"4"	"2"	"68"
"CAO YUNDING"	"28"	"SHANGHAI SHENHUA"	"AFC Champions League"	"CHINA"	"Asia-Oceania"	"173"	"70"	"29"	"Right foot"	"LMF"	"69"	"77"	"75"	"77"	"70"	"66"	"65"	"69"	"60"	"51"	"52"	"72"	"72"	"74"	"80"	"60"	"60"	"40"	"40"	"40"	"40"	"40"	"67"	"2"	"3"	"4"	"2"	"68"
"PARK JONG-SOO"	"22"	"KASHIWA REYSOL"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"188"	"76"	"24"	"Right foot"	"CB"	"53"	"65"	"61"	"65"	"69"	"53"	"61"	"62"	"76"	"69"	"66"	"75"	"72"	"68"	"75"	"78"	"76"	"40"	"40"	"40"	"40"	"40"	"74"	"2"	"2"	"4"	"2"	"68"
"Y. KIMOTO"	"15"	"CEREZO OSAKA"	"AFC Champions League"	"JAPAN"	"Asia-Oceania"	"183"	"73"	"25"	"Right foot"	"DMF"	"62"	"67"	"68"	"70"	"69"	"62"	"61"	"60"	"74"	"74"	"70"	"67"	"72"	"72"	"69"	"74"	"74"	"40"	"40"	"40"	"40"	"40"	"71"	"2"	"2"	"5"	"2"	"68"
"KIROS"	"99"	"ZOB AHAN"	"AFC Champions League"	"BRAZIL"	"South America"	"195"	"86"	"30"	"Right foot"	"CF"	"75"	"75"	"67"	"61"	"56"	"73"	"59"	"62"	"82"	"43"	"44"	"76"	"73"	"72"	"61"	"75"	"72"	"40"	"40"	"40"	"40"	"40"	"71"	"2"	"2"	"5"	"2"	"68"
"JEONG TAE-WOOK"	"45"	"JEJU UNITED"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"194"	"92"	"21"	"Right foot"	"CB"	"59"	"64"	"64"	"67"	"69"	"49"	"61"	"63"	"74"	"72"	"74"	"71"	"67"	"66"	"73"	"79"	"71"	"40"	"40"	"40"	"40"	"40"	"72"	"2"	"2"	"4"	"2"	"68"
"KIM MIN-JAE"	"3"	"JEONBUK HYUNDAI MOTORS"	"AFC Champions League"	"REPUBLIC OF KOREA"	"Asia-Oceania"	"190"	"86"	"22"	"Right foot"	"CB"	"61"	"66"	"64"	"68"	"66"	"47"	"55"	"61"	"73"	"75"	"76"	"69"	"70"	"67"	"68"	"72"	"72"	"40"	"40"	"40"	"40"	"40"	"70"	"2"	"2"	"5"	"2"	"68"
"S. LUKIC"	"55"	"NASAF"	"AFC Champions League"	"SERBIA"	"Europe"	"182"	"80"	"29"	"Right foot"	"RB"	"62"	"69"	"66"	"69"	"71"	"62"	"72"	"65"	"72"	"70"	"69"	"72"	"65"	"64"	"68"	"75"	"74"	"40"	"40"	"40"	"40"	"40"	"70"	"2"	"2"	"5"	"2"	"68"
"D. CERAN"	"69"	"NASAF"	"AFC Champions League"	"SERBIA"	"Europe"	"190"	"83"	"31"	"Left foot"	"CF"	"74"	"70"	"67"	"68"	"66"	"72"	"67"	"68"	"74"	"60"	"55"	"73"	"65"	"67"	"70"	"75"	"70"	"40"	"40"	"40"	"40"	"40"	"65"	"2"	"2"	"5"	"2"	"68"
"SALEM AL HAJRI"	"20"	"AL SADD"	"AFC Champions League"	"QATAR"	"Asia-Oceania"	"183"	"68"	"22"	"Right foot"	"CB"	"63"	"68"	"62"	"72"	"70"	"45"	"58"	"60"	"68"	"75"	"74"	"69"	"73"	"71"	"64"	"75"	"74"	"40"	"40"	"40"	"40"	"40"	"73"	"2"	"1"	"5"	"2"	"68"
"M. KILGALLON"	"6"	"HAMILTON ACADEMICAL"	"Ladbrokes Premiership"	"ENGLAND"	"Europe"	"188"	"79"	"34"	"Left foot"	"CB"	"57"	"63"	"59"	"63"	"67"	"52"	"52"	"58"	"74"	"75"	"74"	"68"	"66"	"62"	"62"	"75"	"76"	"40"	"40"	"40"	"40"	"40"	"74"	"2"	"2"	"5"	"3"	"67"
